Pair,Horizon,Magnitude,Position,Threshold,Low,High
USDCNY,5,1,2,0.02,0.33,0.71
USDCNY,5,1,3,0.03,0.31,0.50
USDCNY,5,1,4,0.04,0.32,0.54
USDCNY,5,1,5,0.05,0.27,0.54
USDCNY,5,2,6,0.1,0.28,0.53
USDCNY,5,2,7,0.2,0.28,0.47
USDCNY,5,2,8,0.3,0.35,0.52
USDCNY,5,2,9,0.4,0.34,0.50
USDCNY,5,2,10,0.5,0.26,0.55
USDCNY,6,1,1,0.01,0.42,0.68
USDCNY,6,1,2,0.02,0.35,0.69
USDCNY,6,1,3,0.03,0.34,0.67
USDCNY,6,1,4,0.04,0.31,0.54
USDCNY,6,1,5,0.05,0.35,0.51
USDCNY,6,2,6,0.1,0.32,0.50
USDCNY,6,2,7,0.2,0.25,0.49
USDCNY,6,2,8,0.3,0.24,0.45
USDCNY,6,2,9,0.4,0.27,0.46
USDCNY,6,2,10,0.5,0.31,0.50
USDCNY,6,3,11,1.0,0.34,0.57
USDCNY,7,1,1,0.01,0.46,0.66
USDCNY,7,1,2,0.02,0.42,0.64
USDCNY,7,1,3,0.03,0.47,0.63
USDCNY,7,1,4,0.04,0.46,0.67
USDCNY,7,1,5,0.05,0.39,0.63
USDCNY,7,2,6,0.1,0.34,0.53
USDCNY,7,2,7,0.2,0.22,0.48
USDCNY,7,2,8,0.3,0.21,0.45
USDCNY,7,2,9,0.4,0.27,0.50
USDCNY,7,2,10,0.5,0.29,0.50
USDCNY,7,3,11,1.0,0.32,0.50
USDCNY,7,3,12,1.5,0.28,0.63
USDCNY,7,3,13,2.0,0.54,0.76
AUDUSD,1,1,1,0.01,0.60,0.97
AUDUSD,1,1,2,0.02,0.75,0.97
AUDUSD,1,1,3,0.03,0.39,0.68
AUDUSD,1,1,4,0.04,0.40,0.70
AUDUSD,1,1,5,0.05,0.37,0.73
AUDUSD,1,2,6,0.1,0.32,0.64
AUDUSD,1,2,7,0.2,0.34,0.63
AUDUSD,1,2,8,0.3,0.36,0.63
AUDUSD,1,2,9,0.4,0.36,0.67
AUDUSD,1,2,10,0.5,0.40,0.63
AUDUSD,2,1,1,0.01,0.39,0.79
AUDUSD,2,1,2,0.02,0.37,0.78
AUDUSD,2,1,3,0.03,0.50,0.86
AUDUSD,2,1,4,0.04,0.38,0.60
AUDUSD,2,1,5,0.05,0.34,0.64
AUDUSD,2,2,6,0.1,0.29,0.56
AUDUSD,2,2,7,0.2,0.28,0.56
AUDUSD,2,2,8,0.3,0.36,0.60
AUDUSD,2,2,9,0.4,0.26,0.53
AUDUSD,2,2,10,0.5,0.32,0.57
AUDUSD,2,3,11,1.0,0.29,0.63
AUDUSD,3,1,1,0.01,0.31,0.76
AUDUSD,3,1,2,0.02,0.44,0.75
AUDUSD,3,1,3,0.03,0.50,0.77
AUDUSD,3,1,4,0.04,0.39,0.77
AUDUSD,3,1,5,0.05,0.27,0.59
AUDUSD,3,2,6,0.1,0.32,0.53
AUDUSD,3,2,7,0.2,0.26,0.52
AUDUSD,3,2,8,0.3,0.32,0.58
AUDUSD,3,2,9,0.4,0.31,0.54
AUDUSD,3,2,10,0.5,0.32,0.56
AUDUSD,3,3,11,1.0,0.31,0.57
AUDUSD,3,3,12,1.5,0.34,0.58
AUDUSD,4,1,1,0.01,0.30,0.75
AUDUSD,4,1,2,0.02,0.45,0.75
AUDUSD,4,1,3,0.03,0.46,0.76
